review_rating,review_text,review_questions_Meal type,polarity,sentiment_model,sentiment_true,accuracy
1,"Very disappointing experience. Ordered takeout and brought it back to the hotel, but there were no utensils at all. As a visitor, how am I supposed to eat ramen 🍜 with my hands? Very inconvenient.",,-0.52,negative,negative,True
4,"Kinton Ramen is a great spot in downtown. We ordered the 4 person combo for $83 and it was almost worth the price. I will say the gyozas, as good as they were, was on the smaller side for 4 people which was unfortunate because they were sooo good. The fries were perfectly crispy, and the ramen itself was really good. I do love spice, so they didn’t have many options to make it spicier, which is fine, i still enjoyed it. I’m a vegetarian and there’s few vegetarian options here and this one was perfect. had 4 different options which i loved. Will be back!",Lunch,0.41862745098039217,positive,positive,True
4,"Food takes a while, but there busy. Delicious though",,0.55,positive,positive,True
5,"We have never had a good experience ordering ramen for delivery tbh but the way this was delivered is amazing. it tastes amazing, the way the broth and food was delivered separately that way it didn't get soggy. Honestly it was such a great experience that we will definitely tell our friends and be ordering from here again. Definitely a 10/10 experience. First time eating here and ordering.",Dinner,0.39444444444444443,positive,positive,True
3,"Unfortunately the chasu pork was thick and rubbery. We didn’t finish it. Waitress didn’t acknowledge or ask about our half eaten food.

Broth for the spicy garlic pork was very good, but shoyu broth is lacking flavour and depth. Clean open kitchen

They incentive ice cream in exchange for positive google reviews.",,0.07675324675324675,neutral,neutral,True
1,"I order Kinton through Uber Eats and the portion sizes were facilely small compared to the advertised photos. Each bowl of ramen came with two small slithers of pork, not two large slices. Two slices of cheesecake were smaller than what the photo infers. This is misleading and unacceptable.",Dinner,-0.07142857142857142,neutral,negative,False
5,"This was our first experience at a ramen restaurant and it was delicious. Yumi was so patient and kind explaining how to order and what the favorites are. She was not wrong!
Clean restaurant, quick service, patient and personable staff. You never felt rushed to finish your meal and open the table for other diners.",Lunch,0.34218750000000003,positive,positive,True
3,"I had the Aka Ramen and I found it a little weird. It was tasty, but I wouldn't order it again as it's not what I think of when I want ramen. The gyoza were quite tasty. Honestly, the meal was alright and decently priced. The service was prompt and friendly.",Lunch,0.09083333333333332,neutral,neutral,True
5,Got the spicy garlic with beef and wow the flavours were unreal! Perfect portion!,Lunch,0.5625,positive,positive,True
5,"Came here for the first time and made a bold choice of trying the beef ramen. Personally it wasn't my favorite but I wanted to try something entirely different. It was still pretty good, but the beefy flavor with ramen just doesn't feel right. My partner has the tonkotsu ramen and that was really good. Their noodles are also excellent.",Dinner,0.3835497835497836,positive,positive,True
5,Such kind service! Delicious food and great atmosphere!,Lunch,0.6875,positive,positive,True
5,So delicious the veggie ramen,Dinner,1.0,positive,positive,True
4,"Pretty solid. Not necessarily the best ramen I’ve had in Vancouver, but it was a good experience overall!",Dinner,0.325,positive,positive,True
4,Veggie Spicy Ramen + Veggie Gyoza was so good! A Must try!,,1.0,positive,positive,True
3,"Currently the 4,7 stars set an expectation that isn't real. Maybe vancouver standard is other….",Lunch,0.06666666666666667,neutral,neutral,True
5,Good ramen 😁,Lunch,0.7,positive,positive,True
2,"The ramen was priced fair ($15) and the noodles were good, but the broth was so-so. I ordered the beer and ramen and the beer never came. When i brought this up when i was paying the bill the server was suprised. It wasnt even all that busy.",,0.5,positive,negative,False
5,Staff were so nice and friendly and many vegetarian options. My Ramen was 10 out of 10. Definitely coming back soon,,0.29500000000000004,positive,positive,True
5,"I visited around 3 PM, and the restaurant was quiet and comfortable. The staff were very friendly, which made my experience even better. I tried the Beef Spicy Garlic recommended by my friend, and it was absolutely delicious!!
I finished the broth to the last drop! We ordered the 2-person set, and everything was perfect: price, service, taste, and cleanliness. I’ll definitely come back again!",Lunch,0.3763888888888889,positive,positive,True
5,"Amazing food, I had the summer ramen and it was soooo good, looking forward to coming back in the colder months. Excellent",Lunch,0.575,positive,positive,True
5,Our food was excellent and service was great!  Really warm welcome and incredibly efficient.  We walked in at jus the right time and were able to get a table right away.  My husband loved his cold noodles and the gyoza were some of the best I’ve had.  Would definitely return!,Lunch,0.5392857142857144,positive,positive,True
5,Lowkey one of the best ramen places I’ve been …,,1.0,positive,positive,True
3,"Great atmosphere, but the broth was lacking. Tried the pork ramen, but the broth tasted like it was lacking. Overly oily and lacking and lacking a distinct taste.",Dinner,0.55,positive,neutral,False
5,Amazing food! Friendly staff! Accommodated us even though we came near closing time. Best place to grab a meal late at night. Clean environment!,,0.4128472222222223,positive,positive,True
5,We were 4 people we waited 15 minutes. It is not big place but sirculation is good. Loved the taste beef miso ramen. I needed more spice so spicy oil and the other spice was super delicious. I asked the server. Next time I will try beef spicy garlic. It was smellls goooood.,,0.3885416666666667,positive,positive,True
4,"Pork ramen was ok, I’d try the spicy garlic one next time. Tsukemen was good. Yuzu beer was ok",Dinner,0.425,positive,positive,True
5,"Amazing ramen, there’s not much better at this price!",Dinner,0.14375000000000004,neutral,positive,False
2,"Not bad but not the best.

Ramen tastes like packet ramen, service was good  but even small addons they will charge you. I would recommend some other place",Lunch,0.33499999999999996,positive,negative,False
5,"My fav place to get the vegetarian Ramen, ordered the vegetarian spicy garlic and it was so good.",Lunch,0.7,positive,positive,True
5,"My first experience with Kinton, a national chain, was back on March 31st when I had what stands to this day as the best Ramen I've ever had.  Unfortunately for me, it was a seasonal feature. Fingers crossed it comes back next year and I will salivate in the mean time. It was the Burnt Shoyu Ramen.

In June of this year, I decided that I deserved more Ramen and made a weekly routine to go for Ramen on my Friday.  Since then, I have returned weekly (missed 1 week cuz vacation). I've endeavored to try a different one every week. I've had the Pork, Chicken, and Beef Original. I've tried the Pork Miso, the Spicy Garlic Chicken (garlic on the side), and the seasonal Chilled Tsukemen. I went with the Spicy Garlic on my second last visit because I kept seeing others order it and was curios why it was seemingly popular. It was the first time I didn't finish the broth as it was too spicy for me. Still very tasty. All have been great, but the Beef Original I had on my most recent visit is definitely my new favorite and I fear I will just have it as a go to and stop trying new items. Variety is the spice (no pun intended) of life!

As for the staff, extremely kind, friendly, efficient, respectful, attentive and competent!  Keep up the excellent work!

Value for your bucks?  By far the best in this category! Plus, they have a stamp card, if you ask, which will get you perks. Win Win!

Can't wait for my next visit!",,0.2869805194805195,positive,positive,True
1,I have had better instant ramen.,Lunch,0.25,positive,negative,False
4,Food is excellent but when it’s busy the staff get flustered and service declines. The restaurant is quite new but it doesn’t seem like the cleanliness is maintained. Cobwebs everywhere especially on the light fixtures above the tables (not very appetizing),,0.22277722277722276,positive,positive,True
5,제가 라면 만두 싹슬이 했슴니다 라맨집 여기가 최고예요!!!!,Dinner,1.0,positive,positive,True
5,"7-7-24

Excellent ramen and among the best I can remember having.

Vibrant interior, small, with maybe 8 tables. Seats are hard but not uncomfortable. They are small, however, and if we had to pick on something, this would be it. We aren't big people, and we could see how this might be a problem for larger folks. Also tables seemed a tad crammed together. Service here is fantastic and quick.

We got the following:

Meal for two (39.99 Canadian): This comes with two ramen,  an order of pork/veggie Gyozas (4), and two drinks. We got Beef Miso and Beef Spicy Garlic for our ramen. Both are hearty with noodles. Excellent broth, and the spicy broth has some good heat. Both reorders. The Gyoza (pork) was so good that we ordered another round. Slight crisp outside and scrumptious interior. Comes with a sweet sauce, good, but these are excellent in themselves. We got their homemade lemonade as drinks. Pulp throughout and not overly sweet as you may get elsewhere. Good version.

Meal for one (22.99 Canadian): Comes with one ramen, an order of pork/veggie Gyoza (4), and a drink. Did Chicken Original as the ramen here. Not overly salty broth with a hearty amount of noodles and stuff. Good version.

The Spicy Garlic Beef ramen and the pork Gyoza stick out to us as clear favorites.

You get chopsticks, and your ramen comes with the large ladle/spoon that is typical.

We thoroughly enjoyed our meal",Dinner,0.2859447004608295,positive,positive,True
1,"Waited over 30 minutes for our food to come out, only for it to be served to the wrong table. Complete lack of urgency and quality service.",Lunch,-0.13333333333333333,neutral,negative,False
4,"Overall, it’s a solid place for getting authentic Japanese food. If you come during the summer, I recommend the combo with original broth ramen + gyozas + a drink for only $15.99.

SERVICE: Pretty good. The servers were kind.

ATMOSPHERE: It is a pretty small and closed in restaurant. Bonus points for there being an open kitchen, so you can see the chefs make your dish.

FOOD: Great! I ordered the original broth with pork and gyozas (the gyoza, original broth ramen, and a drink was a really good deal - only $15.99). My friend ordered the Pork Spicy Garlic. The gyozas were nice and crispy, and the filling was good too. The original broth ramen was also delicious, and the portion size is pretty good. The Pork Spicy Garlic ramen was incredibly flavorful, and the noodles were chewy.",Dinner,0.37199999999999994,positive,positive,True
5,Absolutely fabulous experience! Staff were lovely and the food was amazing! Highly recommend.,Dinner,0.4775,positive,positive,True
5,"Great Ramen place! Vegetarian friendly! Very good service. We loved it so much that we had dinner on consecutive nights. Try their Spicy Garlic Ramen! Kids loved that as well, just request less spicy. Start off with the Gyoza!",Dinner,0.5457738095238096,positive,positive,True
5,I got the pork spicy jalapeno ramen with thick noodles. Nice mild heat in a rich sauce. The slab of pork was generous and tender.,Dinner,0.2520833333333333,positive,positive,True
3,"The ramen was rather bland, and the takoyaki was strange. The batter was too thick, and it had a sour flavor overall. The gyōza was really good, very crispy and had a delicious filling. Unfortunately, I cannot recommend this place. I will say, however, that the service was very good. My server was awesome, and the atmosphere was relaxing, which overall improved my experience.",,0.2202777777777778,positive,neutral,False
4,"여름 이벤트가 좋은 거 같아요
음식 간은 잘 모르겠어요 제 입맛에는 국물이 조금 싱겁다고 생각했어요 교자는 괜찮았습니다 그래도 맛있어요
혼자 먹는 곳이 잘돼있고 서비스랑 인사가 아주 좋아요",Lunch,0.4847619047619048,positive,positive,True
5,Three nights in Vancouver ate there twice. So delicious!,,1.0,positive,positive,True
5,"The best ramen place in Vancouver so far!! I do love it here, SO MUCH! Just so you know, I had Pork Original. I highly recommend it.

20th of May/ I visited again, and had Pork Spicy Garlic. Spicy a bit but tolerable.

28th of July/ I tried Pork Original again, so neat, clear, and for some reason healthy. Customer service is good, I love the ambiance here. Definitely the best ramen place in Vancouver (my friend agreed with that too haha).",Dinner,0.38775,positive,positive,True
5,"Delicious ramen! It was busy but despite that the food came quickly and everything was really good.  If I had to be picky, the broth was too salty to enjoy on it's own, but others seemed to enjoy it, so that could just be our taste.
Well worth a visit.",Dinner,0.47916666666666663,positive,positive,True
1,The pork in my original pork ramen was literally a slab of fat.. both pieces of them. I couldn’t even eat it because there was the thinnest little bit of actual meat on each piece and the rest was just fat,,0.0625,neutral,negative,False
4,"Good food, the rest was just from a normal restaurant but the food was amazing!",Dinner,0.5333333333333333,positive,positive,True
5,"stopped in kinton ramen robson for a very late lunch so restaurant was practically empty. service was prompt and friendly and food came quickly too. ordered the pork shoyu with an added seasoned egg and thin noodles. everything from the broth to noodles to toppings were done perfectly, and the portion was just right for me too. space is inviting and clean, with a decent amount of seating for a ramen place. my go to place for a quick bowl of ramen!",Lunch,0.20945887445887446,positive,positive,True
3,"It was my first time having Kinton Ramen on Robson last Thursday. We ordered cold tsukemen and yuzu beer. They were good and had a kind of summer vibe. However, we just finished eating, and a server came over to our table right away and asked us to pay the bill. Felt a little bit rude, but overall it was OK.",Dinner,0.12482142857142857,neutral,neutral,True
1,Ramen was very not authentic. Shoyu ramen tasted like pepper and nothing else. Gyoza was too crunchy and not flavourful. Very disappointed in the flavours.,Dinner,-0.34166666666666673,negative,negative,True
5,Nice and huge portions,,0.5,positive,positive,True
4,"Ordered the seasonal menu item burnt shoyu ramen. Met expectations. Always try the seasonal items at Kinton!
However, there were many tiny flies in the washroom. Kinda off putting",Dinner,0.25,positive,positive,True
3,"Another instant soup base ramen restaurant in town.
I ordered pork original, which wasn't the real tonkotsu.",Lunch,-0.05625000000000001,neutral,neutral,True
4,Sehr gute Ramen Suppe und ein gutes Angebot für 2 Personen mit Vorspeise und Getränk.,,0.8049999999999999,positive,positive,True
4,Decent ramen in downtown. Nothing too special but the portions of noodles were big.,,0.17460317460317462,positive,positive,True
5,"I’m from Houston the foodie capital of Texas and I have to say, this is the best ramen I’ve ever had. I ordered the spicy Mazemen, a brothless ramen, and it was absolutely delicious. My boyfriend had the original chicken ramen, which was just as flavorful. The vegetable gyoza were also amazing. I definitely recommend this place. It’s hands down the best ramen spot I’ve ever been to—and trust me, I’ve tried a lot. This place blew my taste buds away!",Dinner,0.40243055555555557,positive,positive,True
4,"Alright, I had a veggie miso ramen. It was good. I had extra nori, thin noodles, extra bamboo.

Unfortunately no soy sauce or chili oil at the table.

They put some chili oil into the bowl, but a little too much for my opinion.

The soup was delicious.

The tofu was sweet… that was a little weird, and I had corn in the ramen…  (Corn in ramen?? New for me…)

The amount could be a little more for the price. Especially soup, which is not expensive….",Other,0.0945616883116883,neutral,positive,False
5,"Delicious ramen with friendly staff who checked in on us. Love the modern twist to offer different soup bases. Great variety, will definitely visit again.",,0.4107142857142857,positive,positive,True
5,"Delicious ramen! Close to our hotel in downtown Vancouver and open late.
My family enjoyed the veggie ramen and original pork ramen. The fries were good but the veggie gyoza was ok. Would definitely come back.",,0.30833333333333335,positive,positive,True
5,"Great ramen! I got mine to go. Service was good, quick and the ""to go"" bag was top notch. I recommend.",Dinner,0.6333333333333333,positive,positive,True
4,"Tried the Beef Original and Meal for One set today. Overall, both noodle bowls had rich and flavourful broth. The Beef Original had a nice balance of beef and pepper – the pepper added depth without overpowering the beef. The noodles were cooked perfectly, showing the chef’s attention to detail. The beef was tender and juicy, with the fat melting in your mouth. The chicken, on the other hand, was chicken breast, so it was expectedly a bit dry and chewy. Still, the meal was definitely worth coming back for.

The only odd part was the service.

1. I started eating around 1:30 p.m., and there were still three empty tables. As soon as I finished one item, the server immediately came to take away the bowl – it felt a bit rushed.

2. I was sitting at the bar, and a staff member was seated next to me. After she closed her laptop rather loudly, I glanced over. Unexpectedly, she gave me a sharp, unfriendly glare. Since I was sitting quite close to the kitchen, I felt a little uneasy and didn’t dare to look again.

Great food overall, but the service made the experience a bit uncomfortable.",Lunch,0.05416666666666666,neutral,positive,False
5,"Big portions of soup, nice to sit on the bar and watch how dishes are made

Update:
Salad is good with tofu",Dinner,0.4333333333333333,positive,positive,True
5,The ramen was amazing and the gyoza was so good.  Great meal.,,0.7000000000000001,positive,positive,True
1,"We are quite new in Vancouver and excited to see lots of japanese ramen restaurants. Kinton is one of them.
But for the second visit, we found staffs are rude. When I finished ordering for take-away, she said to me ""can you go outside and wait?!"".
More than half of the resraurant were even empty.",Dinner,0.049410774410774426,neutral,negative,False
1,This is what i paid for $6.99 cheesecake and $2.99 rice. Very disappointed.,Other,-0.9750000000000001,negative,negative,True
4,Best customer service and food was delicious ❤️,,1.0,positive,positive,True
5,"Delicious tasty ramen, generous portions, great value, friendly helpful staff.",,0.725,positive,positive,True
5,Both beef and pork shoyu ramen are amazing. Staff are friendly and helpful too!,Dinner,0.534375,positive,positive,True
